"name","builds","builds_from","source_description","website","website_identity","website_looked_for","entity_type","founders","founders_source","dpiit_status","dpiit_stage","contact_email","contact_page","domain_registered","web_first_capture","build_tags","domain_tags","public_programmes","programme_count","publishing_organisations","hiring_roles","team_page","site_versions_2y","parked_homepage","papers_found","city","state","rdi_sector","rdi_subsector","rdi_project","placed_from","classifier_reasoning","tier","public_traces","on_record","on_record_basis","started","in_database","signals","page"
"Yumitu Robotics Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","profile","Validation","","","","","","","","0","0","","","","","0","Chennai","Tamil Nadu","2","Intelligent Systems & Robotics",,"register-label","Yumitu Robotics' core focus on robotics technology aligns with sub-sector 2.7's emphasis on intelligent robotic systems, and modular robotic platforms represent the foundational architecture type that robotics startups typically develop.","C","1","2026-09-17","discovered",,"2026-09-17","1","https://rohitrao.in/upstream/c/yumitu-robotics"
"Rotatum Mechatronics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Hyderabad","Telangana","2","Intelligent Systems & Robotics",,"register-label","ROTATUM Mechatronics is a robotics startup whose work in robotics technology aligns with the modular robotic platforms project type under Intelligent Systems & Robotics.","C","1","2026-09-16","discovered",,"2026-09-16","1","https://rohitrao.in/upstream/c/rotatum-mechatronics"
"Konnimart Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Pathanamthitta","Kerala","2","Intelligent Systems & Robotics",,"register-label","KONNIMART's robotics work aligns with sub-sector 2.7 on Intelligent Systems & Robotics, and modular robotic platforms represents the core project type for a robotics-focused startup at prototype stage.","C","1","2026-09-16","discovered",,"2026-09-16","1","https://rohitrao.in/upstream/c/konnimart"
"Fabrica Stellaris-Space Technologies PVT LTD",,"","Startup India profile, not DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Ahmedabad","Gujarat","2","Space Technologies",,"register-label","Fabrica Stellaris-Space Technologies, as an aerospace startup in the space technology sector at prototype stage, aligns with developing miniaturized satellite systems which represents a core focus area within space technologies.","C","1","2026-09-16","discovered",,"2026-09-16","1","https://rohitrao.in/upstream/c/fabrica-stellaris-space-technologies"
"Mylab Discovery Solutions",,"","A leading diagnostic company that develops & commercializes tests used in human diagnostics, food safety, agriculture, and veterinary medicine, with a focus on pathogen detection and identification, and predictive genetics","https://mylabglobal.com/","verified","yes","unverified","Hasmukh Rawal, Shailendra Kawade","venture-center",,,,,"2021-05-14",,"","health; agriculture & food","incubation at Venture Center, Pune","1","1","0","https://mylabglobal.com/leadership/","","","17",,,"4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","The project develops and commercializes diagnostic tests for pathogen detection across human, food, agriculture, and veterinary applications, which aligns with indigenous point-of-care diagnostic kit development.","A","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/mylab-discovery-solutions"
"Agregators Enterprises (eFeed)",,"","A precision animal management & nutrition company that leverages artificial intelligence to build personalized feed recommendations for the animals to improve their yields and reduce methane emission.","https://www.efeed.in/","verified","yes","unverified","Kumar Ranjan","venture-center",,,,,"2026-08-04",,"software","water & environment","incubation at Venture Center, Pune","1","1","","","","","0",,,"3","AI in Agriculture","Livestock monitoring and health management with AI","description","The project uses AI to generate personalized feed recommendations for animals, which directly aligns with livestock health management and nutrition optimization.","A","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/agregators-enterprises-efeed"
"Lastmile Robotics Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: EarlyTraction.",,,"no","company",,"","profile","EarlyTraction","","","","","","","","0","0","","","","","0","Ranga Reddy","Telangana","2","Intelligent Systems & Robotics",,"register-label","Lastmile Robotics, a robotics technology startup, aligns with the Intelligent Systems & Robotics sub-sector, specifically modular robotic platforms which represent scalable, configurable robotic systems for deployment.","C","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/lastmile-robotics"
"Robential Kinetics Private Limited",,"","DPIIT recognised. Industry: Robotics. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Tirunelveli","Tamil Nadu","2","Intelligent Systems & Robotics",,"register-label","Robential Kinetics is a robotics startup at prototype stage, directly matching the modular robotic platforms project type under Intelligent Systems & Robotics.","C","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/robential-kinetics"
"Botdynax Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","East Godavari","Andhra Pradesh","2","Intelligent Systems & Robotics",,"register-label","BOTDYNAX operates in robotics technology and would fall under Intelligent Systems & Robotics, with modular robotic platforms being the closest match to a validation-stage robotics startup.","C","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/botdynax"
"Galaxeye Space Solutions Private Limited",,"","DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","2","Chennai","Tamil Nadu","2","Space Technologies",,"register-label","GalaxyEye Space Solutions, as a space technology startup, most likely develops satellite-based Earth observation and geospatial solutions, which aligns with the geospatial and remote sensing applications project type under Space Technologies.","C","1","2026-09-15","discovered",,"2026-09-15","1","https://rohitrao.in/upstream/c/galaxeye-space-solutions"
"Subtlebotic Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Pudukkottai","Tamil Nadu","2","Intelligent Systems & Robotics",,"register-label","SubtleBotic is a robotics startup developing intelligent robotic systems, which aligns with the modular robotic platforms focus within Intelligent Systems & Robotics that emphasizes scalable, adaptable robotic architectures.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/subtlebotic"
"Swiftwing Robotics Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Gurugram","Haryana","2","Intelligent Systems & Robotics",,"register-label","SwiftWing Robotics' work in robotics technology aligns with subsector 2.7's focus on intelligent systems and robotics, with modular robotic platforms being the most general project type that encompasses the core robotics capability.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/swiftwing-robotics"
"Roberon Technologies LLP",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Intelligent Systems & Robotics",,"register-label","Roberon Technologies is a robotics startup whose work aligns with the intelligent systems and robotics subsector, specifically modular robotic platforms which represent scalable, reconfigurable robotic systems for various applications.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/roberon-technologies"
"Spaceock Technologies Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Sabarkantha","Gujarat","2","Space Technologies",,"register-label","SpaceOck Technologies' focus on aeronautics, aerospace & defence in space technology aligns with on-orbit servicing and space infrastructure management capabilities listed under Space Technologies.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/spaceock-technologies"
"Agniva Aerospace",,"","Startup India profile, not DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: Prototype.",,,"no","unverified",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Coimbatore","Tamil Nadu","2","Space Technologies",,"register-label","AGNIVA AEROSPACE is an aerospace startup in the space technology sector focused on aeronautics and propulsion systems, which aligns with the launch vehicle and propulsion innovation project type under Space Technologies.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/agniva-aerospace"
"Gritly Analytics Private Limited",,"","DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Chennai","Tamil Nadu","2","Space Technologies",,"register-label","Gritly Analytics, operating in space technology and aerospace, most likely focuses on data analytics derived from satellite imagery and geospatial intelligence, which directly aligns with remote sensing applications under space technologies.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/gritly-analytics"
"M H Electronics Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Technology Hardware. Sector: Electronics. Stage: Scaling.",,,"no","company",,"","profile","Scaling","","","","","","","","0","0","","","","","","South Delhi","Delhi","2","Semiconductors & Electronics",,"register-label","M H Electronics is a technology hardware startup in the electronics sector, which aligns with electronic control systems as a core component of semiconductor and electronics manufacturing.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/m-h-electronics"
"Spectraabridge Analytics Centre LLP",,"","Startup India profile, not DPIIT recognised. Industry: Biotechnology. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Hyderabad","Telangana","4","Biotechnology & Life Sciences",,"register-label","The company name 'SpectraaBridge Analytics Centre' suggests a focus on spectroscopic data analysis and bridging computational methods, which aligns with AI-driven analytical approaches in life sciences.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/spectraabridge-analytics-centre"
"Robotics Data Private Limited",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","","Patiala","Punjab","2","Intelligent Systems & Robotics",,"register-label","Robotics Data Private Limited develops robotic systems that align with the intelligent systems and robotics subsector, with modular robotic platforms being the closest match for a robotics-focused startup at the prototype stage.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/robotics-data"
"Voxelcore Advanced Technologies Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Technology Hardware. Sector: 3d printing. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Faridabad","Haryana","2","Advanced Manufacturing & Robotics",,"register-label","Voxelcore's 3D printing technology for hybrid components aligns directly with the advanced manufacturing focus on metal and multi-material 3D printing systems.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/voxelcore-advanced-technologies"
"Kavachrix Private Limited",,"","DPIIT recognised. Industry: Technology Hardware. Sector: Semiconductor. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Ranga Reddy","Telangana","2","Semiconductors & Electronics",,"register-label","KAVACHRIX is a semiconductor technology hardware startup at validation stage, which aligns with chip design and advanced node fabrication under the Semiconductors & Electronics sub-sector.","C","1","2026-09-14","discovered",,"2026-09-14","1","https://rohitrao.in/upstream/c/kavachrix"
"Probird",,"","DPIIT recognised. Industry: Robotics. Sector: Robotics Technology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Thiruvananthapuram","Kerala","2","Intelligent Systems & Robotics",,"register-label","PROBIRD develops robotics technology and falls under Intelligent Systems & Robotics, which covers modular robotic platforms as a core capability.","C","1","2026-09-13","discovered",,"2026-09-13","1","https://rohitrao.in/upstream/c/probird"
